Degree,Chi2_A_std,Chi2_A_var_theory,Chi2_B_std,Chi2_B_var_theory
1,80.70105927356553,598,85.57791786369137,606
2,31.06348762279704,596,28.570335021276172,612
3,24.430531918102677,594,25.06646550584912,618
4,24.2928061035673,592,24.89415577670623,624
5,24.229125724642135,590,24.795137193399583,630
6,24.460940281664456,588,24.517543466578523,636
7,24.55213043953495,586,24.37820279119692,642
8,24.30930304578805,584,24.86555655271879,648
9,24.465305283145746,582,25.458296340843972,654
10,24.384216326466394,580,26.30926539210037,660
11,24.606532792599474,578,26.255132302417557,666
12,24.657262306645478,576,26.94785064525798,672
13,24.771967173901793,574,26.673806517740395,678
14,24.785112114459242,572,29.09511370152511,684
15,24.76883162734133,570,30.841740567994623,690
16,24.670677514699673,568,35.901947925034115,696
17,24.547377964482237,566,33.79964134574319,702
18,24.503663148880754,564,39.38462433169114,708
19,24.179695134763005,562,35.39426329941612,714
20,24.161876849077977,560,34.30027549357175,720
21,23.995609280666166,558,29.90788646520088,726
22,24.004023772908184,556,29.7929058123573,732
23,24.023728377686968,554,29.617380463307587,738
24,24.05944867228284,552,30.362586871548167,744
25,24.026800267496256,550,32.29193036875727,750
26,23.997320212777666,548,34.31453057554526,756
27,23.970529850054596,546,36.83063820237991,762
28,24.037133939402285,544,115.96226639574134,768
29,23.996084870704838,542,117.24079442211494,774
30,23.964029873558236,540,110.06330968943821,780
